Included Parameter,,,
Excluded Parameter,,,
,,,
name,detail,Null Values,
surveyid,Individual Identifier,0,
village,Village Identifier,0,
survey_date,Date of Interview (days since Jan1 of first year),0,
femaleres,Female respondent,0,
age,Age (respondent),0,
married,Marital status (respondent),0,
children,Number of children,0,
hhsize,Household size,0,
edu,Years of education completed (respondent),0,
hh_children,Number of children <=18 or younger in Household,0,
hh_totalmembers,Household size,1,
cons_nondurable,Non-durable expenditure (USD),0,
asset_livestock,Value of livestock (USD),0,
asset_durable,Value of durable goods (USD),0,
asset_phone,Value of cell phone (USD),0,
asset_savings,Value of savings (USD),0,
asset_land_owned_total,Land owned (acres),0,
asset_niceroof,Has non-thatched roof (dummy),0,
cons_allfood,Food total (USD),0,
cons_ownfood,Food own production (USD),0,
cons_alcohol,Alcohol (USD),1,
cons_tobacco,Tobacco (USD),1,
cons_med_total,Medical expenditure past month (USD),0,
cons_med_children,"Medical expenditure, children (USD)",1,
cons_ed,Education expenditure (USD),0,
cons_social,Social expenditure (USD),0,
cons_other,Other expenditure (USD),0,
ent_wagelabor,Wage labor primary income (dummy),0,
ent_ownfarm,Own farm primary income (dummy),0,
ent_business,Non-ag business primary income (dummy),0,
ent_nonagbusiness,Non-agricultural business owner (dummy),0,
ent_employees,Number of employees working in non-ag business,0,
ent_nonag_revenue,"Non-ag business revenue, monthly (USD)",0,
ent_nonag_flowcost,"Non-ag business flow expenses, monthly (USD)",0,
ent_farmrevenue,"Farm revenue, monthly (USD)",0,
ent_farmexpenses,"Farm flow expenses, monthly (USD)",0,
ent_animalstockrev,"Livestock sales and meat revenue, monthly (USD)",0,
ent_total_cost,"Total expenses, monthly (USD)",0,
fs_adskipm_often,"Meals skipped (adults, \# last month)",0,
fs_adwholed_often,"Whole days without food (adults, \# last month)",0,
fs_chskipm_often,"Meals skipped (children, \# last month)",1,
fs_chwholed_often,"Whole days without food (children, \# last month)",1,
fs_meat,Number of times ate meat or fish (last week),1,
fs_enoughtom,Enough food in the house for tomorrow? (dummy),1,
fs_sleephun,"Respondent slept hungry (last week, dummy)",1,
med_expenses_hh_ep,"Medical expenses per episode, entire HH (USD)",1,
med_expenses_sp_ep,"Medical expenses per episode, spouses (USD)",1,
med_expenses_child_ep,"Medical expenses per episode, children (USD)",1,
med_portion_sickinjured,Proportion of household sick/injured (1 month),1,
med_port_sick_child,Proportion of children sick/injured (1 month),1,
med_afford_port,Proportion of sick/injured who could afford treatment,1,
med_sickdays_hhave,Average number of sick days per HH member,1,
med_healthconsult,Propotion of illnesses where doctor was consulted,1,
med_vacc_newborns,Number of newborns vaccinated,0,
med_child_check,Proportion of children <14 getting checkup (6 months),0,
med_u5_deaths,Proportion of children <5 who died (1 year),1,
ed_expenses,Education expenditure past month (USD),1,
ed_expenses_perkid,Education expenditure per child past month (USD),1,
ed_schoolattend,Proportion of school-aged children in school,1,
ed_sch_missedpc,School days missed past month (per child),1,
ed_work_act_pc,Income-generating activities per school-age child >6,1,
labor_primary,Casual or Wage Labor Primary Source of Income,0,
wage_expenditures,Expenditure on wages for HH enterprise,0,
durable_investment,Durable Investments,0,
nondurable_investment,Non-durable Investments,0,
given_mpesa,Sent money using M-Pesa,0,
amount_given_mpesa,Amount sent using M-Pesa,0,
received_mpesa,Received money using M-Pesa,0,
amount_received_mpesa,Amount received using M-Pesa,0,
net_mpesa,Net Remittances using M-Pesa,0,
saved_mpesa,Saved money using M-Pesa,0,
amount_saved_mpesa,Amount saved using M-Pesa,0,
early_survey,Psychology survey in 1st wave (dummy),0,
depressed,Meets epidemiological threshold for moderate depression (dummy),0,
day_of_week,Day of week of survey (0=Sunday),0,
